file_name,dialect,reference,prediction
test_barishal_0001.wav,barishal,"অরে বিশটা টাহা দিছি, অর পোলারে বিশটা টাহা দিছি। পোলার বিশ টাহা খাইয়া অর বিশ টাহা নেতে অইছে। টাহা বাও আতে লইয়া, এমন ভাবে হিরি-মিরি দিয়া ডাইন আইদ্দা ধরছে অরে চাইপ্পা। এহন, ঠিকই তো করছে, ও ছাড়েই আর ও ছুইড্ডা যাওয়ার চেষ্টা করে পারে না, ঘোরতে ঘোরতে দোনোডা পড়ছে ঢ্যাফোড়াইয়া",্টাদিসের বৃষ্িপলার বষ্টিে খাই ও র বৃষ্টিতাহা বাওয়াতে লইয়া এমনপু হিরিমিটি ডাইনিতে ধরসারে সাইদ পেয়েও ছাড়েই নারও ছুড্যে যাওয়ার চেষ্টাকারে পারেনা ঘরতে করতে তৌরুডা পাড়ছে
test_barishal_0002.wav,barishal,"গরম লাগে <> কী আছে? কই দেহি। ও পড়বে হোনেন না? ও দেইক্কা মনে অয় ই করছে। না এতে গরম লাগে তো, হাত <> দেয় নাই, ইদের সময় কিনছি না, কাইলগো ওই পোলায় হেই রাত্তিরে বাইর কইররা পড়াই দেছে <>",ওইপহনাদায়িকেমানাইের এতে গরম লাগেত হতব্দেশবাটিভবে টানি কুা রাক
test_barishal_0003.wav,barishal,"দেখি না, চোখে দেখি না, চশমা ছাড়া, খালি দেখি বইসসা রইছে। ওয়া কার কতা কইলেন যে ওই মায়রে, গরু ঘরে ফ্যান দেছে, মায়রে দেয় না ফ্যান? ওই উত্তরবঙ্গে কাইলকে নেডে দেহাইছে। হেয়া দেহায় কত, নেডের কারবার, না নেডের কারবার না বাস্তব",ওয়াকা আর কথা করলেন যেবাইরে গরুগর ্রান্তিসে মাইরে দেনাপেই উত্তরবঙ্গে কালকে নিরে দোআতেহেকেকনানারের কারনে বাস্তব
test_barishal_0004.wav,barishal,"বাস্তবেই তো, মিডিয়া গ্যাছে, হেইনের মেয়র গ্যাছে, নানান প্রশ্ন। হেয়া মনে করেন এক লোক চালাইলো হেইয়া দ্যাকলাম পাঁচ-ছয় জোনে। অনেক প্রশ্ন। পরে হ্যাষে মাফ চাইছে কয় আসলে আমার ভুল অইছে আমি মাফ চাই, আমি এরম কাম আর কোনোদিন করমু না। ওইরম কয়ই, হালারপো হালা, ওই যে দেকছি এক্কারে গায় না আড্ডি নাই, হয়, মানে মাংস নাই খালি আড্ডি",মিলিয়ে গেছে হেনের মেয়র গেছে নানান প্রশ্নও হে মনে করেন এক লোক চালাইলেও হয়ে দেখলাম পাঁ ছ়জনে অনেক প্রশ্ন পরা শেষে মাফ চাইছু কা আ আি া
test_barishal_0005.wav,barishal,"এহেইনদিয়া বউর কতায় এহিনদা টানতে টানতে আমাগো দরজা ছাড়াইয়া নিছে আর পিডায় আর কান্দে, ""ওরে বাবারে আমারে এরম টানিছ না, আমার পার ছাল যায় আমি ব্যতা পাই"", হেইয়াও তো মিডিয়া মুডিয়া কত আইছে, বাস্তবের গটনাই কিন্তু ওইয়া দেহায়, শিখার জন্য কিন্তু কাজে দেয়া না",এেহেন দিয়ে বোর কতাহিনদের টানতে টান তামাগো দরজা সারাইয়া নিছে আর পিডায়ার কান্দর বাবারে আমার েরং টানিস নামার পার ালমিডিয়ে মুডিয়ে থারযে বাস্তবের ঘটনায় কিন্তু ওই়দেহায় শিক্ষার জন্য
test_barishal_0006.wav,barishal,"<> হেরও ছয় পোলা তিন মাইয়া, সবাই বড় বড় প্রোফেশনে, ওই বাত পড়বে, শিক্ষিতরাই এই কাম বেশি করে, নাই বাত খাওয়া শ্যাষ, আমি দেকছি",হ্যারু ছয়পোলাতিন মাইয়া সবাই বড় বা করলেন শিক্ষিতরা এগিয়ে াসআমি দেখছি
test_barishal_0007.wav,barishal,"আম্নে দ্যাকপেন, আফু বাত পড়বে, আমাগো মতো দিনমজুরির রিকশা আলারা, ব্যান আলারা, বদলা-কামলারা জীবনে মা-বাফ হালাইবে না, আইগগা যতি মাহেও হেই বিছনা পোলাপানে পরিস্কার করে, তমু হালাই দে না আর যত এই দুই-একটা বড় ধরনের গটনা দেহি, এয়া বড়লোকের বিত্রে অয়, মান-সন্মান, প্যাট্টিসে বাজে মা-বাফ পরিচয়ই দেতে আরে না",ব্যাকপ্রেন াক মতুন দিনি জুড়ি রিক শেলারা ভ্যান্ডালারা বদলাখানলেরা জীবনে মাবা ফেলাইবে না আইগেজুতি মাহেওহই দিস্নে পোলা পানি পরিষ্কার করে তোমা হালাইবেন আর এই যতই দু একটা বড় ধরনের ঘটনাদেহী বড়লোকের ভিত্রে হয় মান সন্মান প্যাট টিচে পেতে না বা পরিচয় এই দেইতারেনা
test_barishal_0008.wav,barishal,"এহন অরে ঢাকা দিছে ওই বুলেট কলেজে পড়তে ও বিশাল বড় ধরনের একটা ছাত্র অইছে। এহন চাকরি পাইবে, বাংলাদেশ সরকার চাকরী দিছে দুই লাক টাহা বেতন। বিয়া করলো পটুয়াখালীর এক রূপোসী মাইয়া। কইবে ওই ফকিন্নিগো পরিচয়ই দিবি না, অর বাফে তো যাইবে একটা শার্ট গায় দিয়া",নর অরে ঢাকা দিছে বুলেট কলেজে পড়তে ও বিশল বড় ধরনের একটা ছাত্র হয়েছে চাকরি পেবে বাংলাদেশ সরকার চাকরি দিয়্ছে দুই লেখটা বেতন বিয়ে কালো ফটু খালির এক রুপু সীমাইয়া কইবৈ খুনিগো পরিচয় দেবেন র বাপে তো যাইবে এটাশাআট গায় দিয়া
test_barishal_0009.wav,barishal,"পায় এট্টু চডি পিইন্দ্যা, এয়া পরিচয় দেলে, বউর প্যাট্টিসে থাকে না, হ্যাষে কী করবে উনি ওনার বাবারেই চেনবে না। না, এইরম অয়, বিয়া করলে করবি নোয়াখাইল্লা, হাইতান্নো। হাইতান্নো, ক্যা <> বাড়ি একজোনে করছে না, হেয়ারপর বোলে বাড়িই আয় নাই",পায়টু সডি সডি ফিন্ডা পরিচয় দিলেই বোর প্যাটিসে থাকে নাহাসে কি করবে উনিওনার বাবা রইেছেনে না এরময়
test_barishal_0010.wav,barishal,"নোয়াখালী? নোয়াখালী? ওই এর, মনাইর বড় পোলা। এ আর অরা যে কী কয়, হাইতান্নো, হুইতান্নো, আস আয়, মানে আসতে আসতে মইররা যাওয়া লাগে আমাগো লগে একটা পোলা আছিলো, নাম অইলো আরিফ, বইয়া খাও, বইয়া খাও, হের জ্বর আইলে যে চিকরা-চিকরি শুরু করতো",এরাজে কিকয়সাহেব মারে আস তাস্তে মরিজবলা গাঙ্গোলাক একটা ফোলা আছিল নাউইলো আরিফ জরাইলে দেচিক্রেচিকরি শুরু করত
